time, rpm
0, 0
1000, 30
2000, 30
3000, 60
4000, 60
5000, 60
6000, 90
7000, 1290
8000, 1560
9000, 1620
10000, 1590
11000, 1590
12000, 1650
13000, 1830
14000, 1860
15000, 1950
16000, 2160
17000, 2160
18000, 2130
19000, 2340
20000, 2490
21000, 2490
22000, 2520
23000, 2730
24000, 2820
25000, 2880
26000, 3210
27000, 3240
28000, 3240
29000, 3600
30000, 3570
31000, 3810
32000, 3930
33000, 3900
34000, 3600
35000, 3000
36000, 2520
37000, 2490
38000, 2550
39000, 3330
40000, 3510
41000, 3540
42000, 3360
43000, 2280
44000, 2160
45000, 1830
46000, 780
47000, 300
48000, 30
49000, 0
50000, 0
51000, 0
52000, 0
53000, 0

